time,BC+,BC-,BC,total,BC/total,BCfresh,BCaged,fresh/total,aged/total
2021/5/1 0:00,262,1447,1469,6506,0.225791577,70,1399,0.010759299,0.215032278
2021/5/1 1:00,718,4467,4568,19633,0.232669485,132,4436,0.006723374,0.225946111
2021/5/1 2:00,768,4155,4285,18477,0.231909942,168,4117,0.009092385,0.222817557
2021/5/1 3:00,750,3518,3619,17538,0.206351922,173,3446,0.009864295,0.196487627
2021/5/1 4:00,906,3692,3863,18778,0.205719459,303,3560,0.016135904,0.189583555
2021/5/1 5:00,966,3199,3377,16576,0.203728282,236,3141,0.014237452,0.18949083
2021/5/1 6:00,747,2448,2575,13632,0.188893779,205,2370,0.015038146,0.173855634
2021/5/1 7:00,748,2267,2406,13839,0.173856493,179,2227,0.012934461,0.160922032
2021/5/1 8:00,594,1713,1826,10889,0.167692166,150,1676,0.01377537,0.153916797
2021/5/1 9:00,805,2269,2460,13730,0.179169701,172,2288,0.012527312,0.166642389
2021/5/1 10:00,885,2302,2505,14396,0.174006669,252,2253,0.017504862,0.156501806
2021/5/1 11:00,638,2571,2650,13522,0.195976926,367,2283,0.027140955,0.168835971
2021/5/1 12:00,531,2774,2835,14772,0.191917141,459,2376,0.031072299,0.160844842
2021/5/1 13:00,627,2852,2936,14551,0.201773074,368,2568,0.025290358,0.176482716
2021/5/1 14:00,605,2806,2880,14526,0.19826518,357,2523,0.024576621,0.173688558
2021/5/1 15:00,564,2757,2846,13246,0.214857315,380,2466,0.028687906,0.18616941
2021/5/1 16:00,550,2946,3035,14856,0.204294561,487,2548,0.032781368,0.171513193
2021/5/1 17:00,594,3059,3151,16184,0.194698468,594,2557,0.036702916,0.157995551
2021/5/1 18:00,518,2394,2474,11541,0.214366173,429,2045,0.037171822,0.177194351
2021/5/1 19:00,406,2153,2219,11490,0.193124456,221,1998,0.019234117,0.173890339
2021/5/1 20:00,457,2117,2164,10495,0.206193425,172,1992,0.016388757,0.189804669
2021/5/1 21:00,411,2585,2622,12586,0.208326712,161,2461,0.012791991,0.195534721
2021/5/1 22:00,517,4188,4243,17963,0.23620776,169,4074,0.009408228,0.226799532
2021/5/1 23:00,692,4815,4899,20970,0.233619456,234,4665,0.011158798,0.222460658
2021/5/2 0:00,721,4709,4769,20276,0.235204182,172,4597,0.008482935,0.226721247
2021/5/2 1:00,689,4307,4379,19041,0.229977417,177,4202,0.00929573,0.220681687
2021/5/2 2:00,667,3694,3766,17096,0.220285447,112,3654,0.00655124,0.213734207
2021/5/2 3:00,592,3015,3087,15380,0.200715215,99,2988,0.006436931,0.194278283
2021/5/2 4:00,488,2397,2468,12976,0.190197287,59,2409,0.004546856,0.185650432
2021/5/2 5:00,467,1766,1831,10147,0.180447423,90,1741,0.008869617,0.171577806
2021/5/2 6:00,407,1404,1451,9211,0.157529041,85,1366,0.009228097,0.148300945
2021/5/2 7:00,355,1292,1341,9035,0.1484228,79,1262,0.008743774,0.139679026
2021/5/2 8:00,452,1643,1693,10979,0.154203479,190,1503,0.017305766,0.136897714
2021/5/2 9:00,370,1881,1924,11010,0.174750227,204,1720,0.01852861,0.156221617
2021/5/2 10:00,503,2508,2558,11724,0.21818492,340,2218,0.029000341,0.189184579
2021/5/2 11:00,392,2448,2477,11194,0.221279257,454,2023,0.040557441,0.180721815
2021/5/2 12:00,397,2422,2451,11924,0.205551828,317,2134,0.026585039,0.17896679
2021/5/2 13:00,361,2046,2076,11198,0.185390248,368,1708,0.032863011,0.152527237
2021/5/2 14:00,428,2572,2604,11720,0.2221843,462,2142,0.039419795,0.182764505
2021/5/2 15:00,311,1911,1940,9746,0.199056023,326,1614,0.03344962,0.165606403
2021/5/2 16:00,338,1808,1829,9373,0.195134962,344,1485,0.036701163,0.158433799
2021/5/2 17:00,402,1627,1659,8553,0.193967029,124,1535,0.014497837,0.179469192
2021/5/2 18:00,499,1680,1718,8532,0.201359587,117,1601,0.01371308,0.187646507
2021/5/2 19:00,444,1628,1643,7657,0.214574899,109,1534,0.01423534,0.200339559
2021/5/2 20:00,450,1806,1821,7977,0.228281309,104,1717,0.013037483,0.215243826
2021/5/2 21:00,300,1961,1966,9232,0.212954939,128,1838,0.013864818,0.199090121
2021/5/2 22:00,203,3380,3386,13019,0.260081419,91,3295,0.006989784,0.253091635
2021/5/2 23:00,297,4408,4427,17851,0.247997311,111,4316,0.006218139,0.241779172
2021/5/3 0:00,324,4913,4929,19596,0.251530925,136,4793,0.006940192,0.244590733
2021/5/3 1:00,335,3708,3730,15690,0.237731039,68,3662,0.004333971,0.233397068
2021/5/3 2:00,277,3250,3273,13030,0.251189563,86,3187,0.006600153,0.244589409
2021/5/3 3:00,199,2839,2847,11082,0.256903086,59,2788,0.005323949,0.251579137
2021/5/3 4:00,229,2699,2717,10170,0.267158309,102,2615,0.010029499,0.25712881
